Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
1,Eesti Vabaerakond,ANDRES HERKEL,222
1,Eesti Vabaerakond,ÕIE-MARI AASMÄE,43
1,Eesti Vabaerakond,JÜRI PINO,36
1,Eesti Vabaerakond,JAAK PROZES,35
1,Eesti Vabaerakond,AGE MINKA,27
1,Eesti Vabaerakond,JAANIKA KLOPETS,23
1,Eesti Vabaerakond,TÕNU TEEVEER,19
1,Eesti Vabaerakond,MARIKE LAHT,18
1,Eesti Vabaerakond,JAANUS OJANGU,15
1,Eesti Vabaerakond,SANDER KLAUSEN,12
1,Eesti Vabaerakond,JAANUS PAASOJA,9
1,Eesti Vabaerakond,PEETER LIINSOO,5
1,Eesti Reformierakond,KRISTEN MICHAL,6347
1,Eesti Reformierakond,HEIDY PURGA,4763
1,Eesti Reformierakond,ARTO AAS,2339
1,Eesti Reformierakond,SIGNE RIISALO,837
1,Eesti Reformierakond,ANTS LEEMETS,477
1,Eesti Reformierakond,MERIKE LANG,321
1,Eesti Reformierakond,LIIS KLAAR,307
1,Eesti Reformierakond,LEMBIT KOLK,274
1,Eesti Reformierakond,KRISTO ENN VAGA,248
1,Eesti Reformierakond,KATRIN HELENDI,181
1,Eesti Reformierakond,ANDRES ARO,104
1,Eesti Reformierakond,GEROL SILKIN,101
1,Erakond Eestimaa Rohelised,ZÜLEYXA IZMAILOVA,923
1,Erakond Eestimaa Rohelised,MATTIAS TUROVSKI,441
1,Erakond Eestimaa Rohelised,KADRI SIKK,131
1,Erakond Eestimaa Rohelised,ANNE VETIK,71
1,Erakond Eestimaa Rohelised,FIDEELIA-SIGNE ROOTS,64
1,Erakond Eestimaa Rohelised,KRISTINA SADOHHINA,35
1,Erakond Eestimaa Rohelised,EERO UUSTALU,30
1,Erakond Eestimaa Rohelised,HANNES LIITMÄE,30
1,Erakond Eestimaa Rohelised,MIHKEL TIGANIK,28
1,Erakond Eestimaa Rohelised,TARMO ANDRE ELVISTO,26
1,Erakond Eestimaa Rohelised,MAIGI KÄIGE,22
1,Erakond Eestimaa Rohelised,MARTTI PREEM,11
1,Sotsiaaldemokraatlik Erakond,SVEN MIKSER,1693
1,Sotsiaaldemokraatlik Erakond,RIINA SIKKUT,1610
1,Sotsiaaldemokraatlik Erakond,JAAK JUSKE,672
1,Sotsiaaldemokraatlik Erakond,ANDRUS VAARIK,495
1,Sotsiaaldemokraatlik Erakond,MARIANNE MIKKO,419
1,Sotsiaaldemokraatlik Erakond,ROY STRIDER,222
1,Sotsiaaldemokraatlik Erakond,SIIM TUISK,192
1,Sotsiaaldemokraatlik Erakond,MARIS SILD,101
1,Sotsiaaldemokraatlik Erakond,ERIKA SCHOLLER,98
1,Sotsiaaldemokraatlik Erakond,JOOSEP VIMM,81
1,Sotsiaaldemokraatlik Erakond,JEVGENI VAISBEIN,53
1,Elurikkuse Erakond,MIHKEL KANGUR,423
1,Elurikkuse Erakond,RIINU LEPA,43
1,Elurikkuse Erakond,RIINA SOONE,42
1,Elurikkuse Erakond,ALLAN KOKKOTA,33
1,Elurikkuse Erakond,ALLAN PROOSO,32
1,Elurikkuse Erakond,SIIRI TIIVITS-PUTTONEN,27
1,Elurikkuse Erakond,ÜLO MÄNGEL,25
